epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4866.32,1.25754,0.7762,1.47312,0.97857,0.95157,0.97999,0.63382,1.24401,0.70995,1.41664,0.000192899,0.000192899,0.000192899
64,4919.7,1.3213,0.78824,1.49291,0.95776,0.94487,0.98181,0.62985,1.25582,0.71129,1.41769,0.000174402,0.000174402,0.000174402
65,5647.88,1.32521,0.7989,1.4871,1,0.93379,0.98149,0.62436,1.22905,0.68593,1.39735,0.000156805,0.000156805,0.000156805
66,5713.01,1.16586,0.72139,1.43143,0.99344,0.9375,0.9821,0.61323,1.23628,0.69975,1.39221,0.000140134,0.000140134,0.000140134
67,5743.05,1.20839,0.69297,1.40692,0.99487,0.9375,0.98061,0.63374,1.20598,0.69116,1.37608,0.000124415,0.000124415,0.000124415
68,5792,1.12597,0.68398,1.40688,1,0.9323,0.98139,0.65043,1.16107,0.68474,1.34358,0.000109672,0.000109672,0.000109672
69,5853.76,1.14837,0.70685,1.41795,1,0.93155,0.98273,0.64024,1.20904,0.70257,1.37615,9.59277e-05,9.59277e-05,9.59277e-05
70,5887.14,1.15286,0.69392,1.42509,1,0.9285,0.98286,0.6413,1.20347,0.67877,1.37104,8.32037e-05,8.32037e-05,8.32037e-05
71,5930.92,1.14618,0.68158,1.39671,1,0.93103,0.98265,0.65214,1.17757,0.66186,1.35742,7.15194e-05,7.15194e-05,7.15194e-05
72,5967.81,1.13496,0.67779,1.39639,1,0.93096,0.98345,0.66233,1.15771,0.65014,1.3509,6.08929e-05,6.08929e-05,6.08929e-05
73,5999.58,1.12846,0.6764,1.38178,1,0.93001,0.98601,0.66832,1.13757,0.64421,1.34094,5.13405e-05,5.13405e-05,5.13405e-05
74,6035.72,1.12046,0.63737,1.3915,0.99885,0.91667,0.98525,0.67053,1.1417,0.6453,1.33892,4.2877e-05,4.2877e-05,4.2877e-05
75,6080.96,1.11685,0.6456,1.39703,1,0.92958,0.98448,0.66258,1.15339,0.64979,1.34522,3.55153e-05,3.55153e-05,3.55153e-05
76,6112.58,1.09371,0.64357,1.37985,0.97073,0.9375,0.98361,0.65056,1.17791,0.65164,1.3544,2.92669e-05,2.92669e-05,2.92669e-05
77,6175.12,1.11553,0.65203,1.37397,0.99289,0.91667,0.98375,0.6475,1.20212,0.66658,1.36346,2.41414e-05,2.41414e-05,2.41414e-05
78,6209.64,1.08465,0.6477,1.3992,0.97113,0.9375,0.98399,0.64789,1.20203,0.66236,1.36399,2.01467e-05,2.01467e-05,2.01467e-05
79,6287.24,1.119,0.65368,1.36791,0.99314,0.91667,0.98327,0.64798,1.20375,0.6609,1.36619,1.72889e-05,1.72889e-05,1.72889e-05
80,6343.8,1.128,0.6593,1.39201,0.99421,0.91667,0.98316,0.65462,1.19226,0.65602,1.3588,1.55724e-05,1.55724e-05,1.55724e-05
