epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,876.539,1.10435,0.64332,1.13927,0.95917,0.97874,0.99139,0.70206,1.11364,0.5403,1.02923,0.000905463,0.000905463,0.000905463
26,912.091,1.11703,0.71846,1.12908,0.90509,1,0.98726,0.64305,1.17027,0.593,1.06295,0.00089771,0.00089771,0.00089771
27,947.386,1.09847,0.6476,1.10561,1,0.9272,0.98932,0.68969,1.10496,0.56816,1.0125,0.000889687,0.000889687,0.000889687
28,982.636,1.07652,0.65059,1.11318,0.91675,0.91764,0.95801,0.66971,1.11922,0.72576,1.04769,0.000881401,0.000881401,0.000881401
29,1018.26,1.13938,0.66758,1.11452,0.96945,0.95833,0.98354,0.69367,1.00099,0.64977,0.98908,0.000872857,0.000872857,0.000872857
30,1053.66,1.08271,0.62637,1.10932,0.97493,1,0.99378,0.68804,1.0684,0.53203,0.98974,0.00086406,0.00086406,0.00086406
31,1089.22,1.12746,0.67741,1.11855,0.96666,1,0.97561,0.67616,1.0791,0.54851,1.00152,0.000855018,0.000855018,0.000855018
32,1124.75,1.06019,0.64357,1.09795,0.97583,1,0.99378,0.74103,0.95917,0.51332,0.96462,0.000845736,0.000845736,0.000845736
33,1160.46,1.05655,0.62892,1.11787,0.9932,0.9375,0.99147,0.67313,1.10751,0.53961,1.02745,0.00083622,0.00083622,0.00083622
34,1195.94,1.07372,0.61434,1.12979,0.99476,0.95833,0.99341,0.66988,1.1855,0.5121,1.05003,0.000826477,0.000826477,0.000826477
35,1231.5,1.09999,0.6569,1.14126,1,0.9749,0.9942,0.70511,1.05383,0.50508,1.03318,0.000816514,0.000816514,0.000816514
36,1266.81,1.02771,0.57408,1.08033,0.97954,0.99729,0.97765,0.71118,1.02149,0.50816,0.98271,0.000806337,0.000806337,0.000806337
37,1302.53,1.04424,0.59412,1.08494,0.95212,0.9375,0.97176,0.64084,1.20365,0.61006,1.0674,0.000795954,0.000795954,0.000795954
38,1338.14,1.09982,0.63683,1.1317,0.97072,0.97917,0.97697,0.72322,0.99696,0.53234,0.97366,0.000785371,0.000785371,0.000785371
39,1373.6,1.04608,0.60011,1.07674,0.93834,0.95118,0.98008,0.71201,1.00314,0.57077,1.00145,0.000774596,0.000774596,0.000774596
40,1409.17,1.09526,0.63097,1.13135,0.91307,0.9375,0.94007,0.63414,1.14259,0.66295,1.03178,0.000763637,0.000763637,0.000763637
41,1444.62,1.05008,0.59167,1.11837,0.92281,0.99627,0.99065,0.68865,1.08085,0.5184,1.0133,0.0007525,0.0007525,0.0007525
